,treatment,work_interfere,benefits,care_options,wellness_program,seek_help,condition,resources,knowledge
0,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
1,Yes,Often,Yes,Yes,No,No,Yes,Poor,Knowledgeable
2,Yes,Rarely,Yes,Don't know,Don't know,Yes,Yes,Good,Somewhat knowledgeable
3,Yes,Rarely,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
4,Yes,Sometimes,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
5,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
6,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
7,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
8,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
9,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
10,Yes,Rarely,No,Yes,No,No,Yes,Poor,Knowledgeable
11,No,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
12,Yes,Rarely,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
13,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
14,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
15,No,Often,No,Don't know,No,No,Yes,Poor,Knowledgeable
16,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
17,Yes,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
18,Yes,Rarely,Yes,No,No,Don't know,Yes,Poor,Knowledgeable
19,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
20,No,Never,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
21,Yes,Rarely,Yes,Yes,No,No,Yes,Poor,Knowledgeable
22,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
23,Yes,Often,Don't know,No,No,No,Yes,Poor,Knowledgeable
24,Yes,Sometimes,Don't know,Don't know,Yes,Yes,Yes,Good,Somewhat knowledgeable
25,No,Never,Yes,Don't know,No,Yes,Yes,Good,Knowledgeable
26,No,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
27,No,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
28,Yes,Often,No,Don't know,No,No,Yes,Poor,Knowledgeable
29,No,Sometimes,Yes,No,Don't know,Yes,Yes,Good,Knowledgeable
30,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
31,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
32,No,Rarely,Yes,Yes,No,No,Yes,Poor,Knowledgeable
33,No,Never,Don't know,Don't know,Yes,Don't know,Yes,Poor,Not knowledgeable
34,Yes,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
35,No,Never,Don't know,No,Don't know,Don't know,Yes,Poor,Not knowledgeable
36,No,Sometimes,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
37,No,Never,Yes,Don't know,Yes,Don't know,Yes,Good,Somewhat knowledgeable
38,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
39,Yes,Rarely,Yes,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
40,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
41,No,Never,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
42,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
43,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
44,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
45,No,Rarely,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
46,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
47,Yes,Sometimes,No,Yes,No,No,Yes,Poor,Knowledgeable
48,Yes,Often,No,Yes,No,No,Yes,Poor,Knowledgeable
49,No,Never,Yes,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
50,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
51,No,Never,Yes,Don't know,Yes,Don't know,Yes,Good,Somewhat knowledgeable
52,No,Rarely,Yes,Don't know,No,No,Yes,Poor,Knowledgeable
53,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
54,Yes,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
55,No,Never,Yes,No,No,No,Yes,Poor,Knowledgeable
56,Yes,Sometimes,Yes,No,Yes,Yes,Yes,Good,Knowledgeable
57,Yes,Sometimes,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
58,Yes,Sometimes,Yes,Yes,Yes,Yes,Yes,Good,Knowledgeable
59,Yes,Rarely,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
60,No,Never,Yes,Yes,No,Don't know,Yes,Poor,Knowledgeable
61,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
62,Yes,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
63,No,Never,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
64,Yes,Sometimes,Don't know,No,Don't know,Don't know,Yes,Poor,Not knowledgeable
65,No,Often,Yes,No,No,No,Yes,Poor,Knowledgeable
66,No,Never,Yes,No,Yes,Yes,Yes,Good,Knowledgeable
67,Yes,Rarely,Yes,Yes,No,Yes,Yes,Good,Knowledgeable
68,No,Sometimes,No,No,No,No,Yes,Poor,Knowledgeable
69,Yes,Sometimes,Don't know,No,No,No,Yes,Poor,Knowledgeable
70,Yes,Sometimes,Yes,Yes,No,No,Yes,Poor,Knowledgeable
71,No,Rarely,No,Yes,No,No,Yes,Poor,Knowledgeable
72,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
73,Yes,Never,Don't know,No,No,No,Yes,Poor,Knowledgeable
74,No,Never,Don't know,No,No,No,Yes,Poor,Knowledgeable
75,Yes,Often,Yes,Don't know,No,No,Yes,Poor,Knowledgeable
76,Yes,Sometimes,Don't know,No,Don't know,Don't know,Yes,Poor,Not knowledgeable
77,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
78,Yes,Rarely,No,Yes,Yes,Yes,Yes,Good,Knowledgeable
79,No,Never,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
80,No,Rarely,No,No,No,No,Yes,Poor,Knowledgeable
81,No,Never,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
82,Yes,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
83,Yes,Rarely,No,Yes,No,No,Yes,Poor,Knowledgeable
84,Yes,Sometimes,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
85,Yes,Sometimes,Yes,No,No,No,Yes,Poor,Knowledgeable
86,No,Never,Yes,No,No,Yes,Yes,Good,Knowledgeable
87,No,Rarely,Don't know,No,No,No,Yes,Poor,Knowledgeable
88,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
89,No,Rarely,Don't know,Don't know,Yes,Don't know,Yes,Poor,Not knowledgeable
90,Yes,Sometimes,Yes,Yes,Don't know,Don't know,Yes,Poor,Somewhat knowledgeable
91,Yes,Never,Don't know,Don't know,No,No,Yes,Poor,Somewhat knowledgeable
92,No,Never,Don't know,Don't know,No,Don't know,Yes,Poor,Not knowledgeable
93,Yes,Often,Yes,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
94,Yes,Sometimes,Yes,No,No,No,Yes,Poor,Knowledgeable
95,No,Never,No,No,No,No,Yes,Poor,Knowledgeable
96,No,Never,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
97,Yes,Sometimes,Don't know,Don't know,Don't know,Don't know,Yes,Poor,Not knowledgeable
98,Yes,Often,Yes,Don't know,No,Don't know,Yes,Poor,Somewhat knowledgeable
99,No,Sometimes,Don't know,No,No,Don't know,Yes,Poor,Somewhat knowledgeable
100,Yes,Never,Yes,Don't know,Don't know,No,Yes,Poor,Somewhat knowledgeable
